Restaurant Name,City,Average price
Casino's Pizza,Addison,4.73
The Fire Den,Alameda,17.635200000000005
La Hacienda,Americus,6.275
Imo's Pizza,Arnold,10.750869565217391
Glutenfree Things,Arvada,7.99
Martinizing,Arvada,13.559333333333335
Steinway Pizza,Astoria,15.883636363636363
Austin's Pizza,Austin,11.223333333333334
California Pizza Kitchen,Austin,16.0636
Cristy's Pizza,Baltimore,16.997368421052627
Tascali's Decades Pasta & Grill,Barboursville,5.351666666666667
Little Pizza Paradise,Bend,10.158888888888887
Art Cafe,Bethlehem,7.0
Town Pub,Bloomfield,12.99
Fazoli's,Bloomington,7.5
Tavern On The Square,Bothell,11.0
Bronson Strike Zone,Bronson,8.74
Lineage - Permanently Closed,Brookline,14.0
Brando's Pizza,Buffalo,8.194
Uno Pizzeria & Grill,Burlington,10.767777777777777
Doubledave's Pizzaworks,Cedar Park,9.130555555555553
Hungry Howie's Pizza,Chandler,7.713000000000001
Antonio's Pizza,Chatham,11.89321428571429
Potbelly Sandwich Shop,Chicago,5.55
Francesca's On Chestnut,Chicago,12.469999999999999
Larosa's Pizzeria,Cincinnati,4.39
Oh' Brian's on the Green,Clark,13.524375000000001
Original Giorgio's,Cockeysville,11.866969696969704
Doubledave's Pizza Works,College Station,9.130555555555553
Spagio,Columbus,17.494999999999997
The Italian Oven,Connellsville,4.54625
Supreme Roast Beef & Sea Food,Danvers,1.5125000000000002
Grassfields Bar & Grill,Danvers,8.99
China Kitchen,Denver,1.5125000000000002
Mellow Mushroom Pizza Bakers,Denver,11.447999999999997
Midori Japanese Restaurant,Denville,10.95
Brothers 2,Endicott,17.899090909090912
Hunan Gourmet,Englishtown,12.0
Sluggers Sports Bar,Erie,5.49
Booies Pizza,Erie,20.434444444444445
Prima Pizza,Essex,9.631111111111112
Tomato & Basil,Fairfield,9.519444444444442
Tavern At The Inn,Findlay,9.666666666666666
Kyoto Sushi,Flushing,12.95
Blockbuster,Gainesville,6.436
Uncle John's Pizza,Grand Prairie,9.95
Baglianis Food Market,Hammonton,7.2457142857142856
The Spud Spot,Harvey,20.434444444444445
Joey's N Y Pizza,Henderson,14.70315789473684
Patrick Molloy's Sports Pub,Hermosa Beach,9.558421052631576
Buon Cibo,Hernando,9.86458333333333
Rancho Viejo Mexican Grill,Hickory,6.275
The Hamilton Inn,Hoboken,14.0
Baldinelli Pizza,Homer Glen,5.03
Lucky's Pub,Houston,9.95
Roadhouse Cafe,Hyannis,9.989130434782606
Greek's Pizzeria,Indianapolis,11.547500000000001
Zpizza,Irvine,15.75
Bosses Pizza - Keller,Keller,5.375
Kennebunk House Of Pizza,Kennebunk,18.275
Keyme,Kent,2.125
Michael's Jewish Delicatessen,King Of Prussia,7.2457142857142856
Cafe Veloce,Kirkland,10.0
Tower Hill Tavern,Laconia,20.434444444444445
Fox's Pizza Den,Lafayette,10.189230769230768
I Love Bagels,Laguna Niguel,2.95
Mo's Pub Eatery,Langley,19.141
D. Vino Italian Food and Wine Bar - Monte Carlo,Las Vegas,17.66333333333333
Nino's Trattoria & Pizzeria,Lawrence Township,11.804531250000007
Abo's Pizza,Littleton,15.05888888888889
Bravo Pizza Hollywood,Los Angeles,11.011470588235294
The Brentwood,Los Angeles,13.6
Larosa's Pizzeria,Loveland,4.39
Salerno's Pizza Restaurant,Luzerne,14.616666666666665
Sir Pizza,Madison,13.559333333333335
Nypd Pizza,Maitland,15.2225
Pizza Bistro,Massapequa Park,20.5
Little Italy Pizza,Memphis,13.559333333333335
Giovanni's Pizza and Pasta,Menifee,11.883888888888889
Atheneos Greek Village Cafe,Mesquite,9.321052631578945
Rosa Ii Pizzeria & Restaurant,Middle Village,2.125
Gina Maria's Pizza,Minneapolis,14.295555555555556
Lake Bowl Inc,Moses Lake,5.0
Tony Soprano's Pizza,Mount Laurel,4.54625
Pirate's Cove,Mount Vernon,11.695
Copeland's Cheescake Bistro,New Orleans,4.970000000000001
Patsy's Pizzeria,New York,9.432941176470585
Woolworth Tower Kitchen,New York,10.0
Gran Morsi,New York,13.679333333333334
Burgers & Cupcakes,New York,14.20444444444444
John's of 12th Street,New York,14.616666666666665
Tre Restaurant & Wine Bar,New York,16.64333333333333
Ming Garden Cocktails Chinese Restaurant,Newark,2.5
Louie's Pizza,Newark,4.5
Broad Street Cafe,Newark,9.0
Walnut Grille,Newton Highlands,11.333333333333334
Zios Italian Kitchen - Olathe,Olathe,11.268666666666666
Frank's Pizzeria,Omaha,14.392307692307693
The Lookout Catering,Osseo,9.989130434782606
Little Caesars Pizza,Pasadena,8.0
C19,Philadelphia,5.0
Mi Pal's Deli,Philadelphia,5.226451612903224
Carluccio's,Philadelphia,6.171
Peter Piper Pizza,Phoenix,15.99
Gatehouse Restaurant,Pickens,2.99
Stissing House,Pine Plains,8.99
Suraya's - Grill and Fried Chicken,Piscataway,7.788787878787878
Rivertowne North Shore,Pittsburgh,16.400000000000002
West River Cafe,Providence,4.95
Brigham Young University,Provo,11.53625
Prince Pizza,Redford,4.457777777777777
Milanos Pizza,Sacramento,12.722558139534884
Riccardo's Pizza,Saddle Brook,15.947714285714287
Pie In The Sky,Saint Albans,9.432941176470585
Oceano Bistro - Clayton,Saint Louis,9.432941176470585
Ristorante Italiano,Santa Cruz,5.99
Ralph's Grocery Deli,Seattle,8.14
Icon Grill,Seattle,13.947692307692307
Enterprise Deli,Shelton,5.25
Charlies American Grill & Spirits,Sioux City,20.434444444444445
Avellino's Pizza,Southaven,5.03
Mexican Gardens,Southgate,9.99
Brio Tuscan Grille - Southlake - Southlake Town Square,Southlake,8.95
Boston's Restaurant & Sports Bar,Spokane,10.75
Uno Pizzeria & Grill - Sturbridge,Sturbridge,5.656666666666667
China Moon,Suffolk,1.5125000000000002
Khan's Bar & Grill,Washington,8.0
Philly's Subs,Wausau,20.434444444444445
California Pizza Kitchen,Wellington,16.0636
Country Bagel Bakery,West Chester,3.1420000000000003
Casa-Rica,Westminster,6.275
Mediterraneo Ristorante,Westminster,13.9225
Jet's Pizza,White Lake,19.59
Euro Pizzeria,White Plains,14.931891891891892
Knolla's Pizza,Wichita,11.815999999999999
Taco Pronto,Wichita,11.815999999999999
Satsuma,Wilmington,12.0
Dioli's Italian Market,Winston Salem,7.25
Russo's Pizza,Wyoming,9.126
